,Compound,Date,Negative,Neutral,News Outlet,Positive,Source Account,Tweets Ago,Tweets Text
28,0.5267,Sun Apr 29 01:00:08 +0000 2018,0.841,0.0,@CNN,0.159,CNN,29,"China's technological rise has been fueled by US tech companies that ""prostituted themselves"" to gain access to the… https://t.co/jhpceKTi8n"
29,0.4404,Sun Apr 29 00:59:17 +0000 2018,0.861,0.0,@CNN,0.139,CNN,30,“Is this better than that phony Washington White House Correspondents’ Dinner? ... I could be up there tonight smil… https://t.co/r6aioBZfwT
30,-0.6908,Sun Apr 29 00:48:31 +0000 2018,0.662,0.251,@CNN,0.087,CNN,31,"President Trump on midterm elections: ""We gotta go out, and we gotta fight like hell ... and I think we're going to… https://t.co/eIw5QrLIxR"
31,0.0,Sun Apr 29 00:41:07 +0000 2018,1.0,0.0,@CNN,0.0,CNN,32,"President Trump, during a rally in Michigan, says potential talks with North Korean leader Kim Jong Un could happen… https://t.co/6ZtYv6QRSg"
32,0.4939,Sun Apr 29 00:38:58 +0000 2018,0.591,0.142,@CNN,0.268,CNN,33,President Trump on former FBI Director James Comey: “I did you a great favor when I fired this guy”… https://t.co/ak8cMmJgY9
33,-0.8658,Sun Apr 29 00:30:06 +0000 2018,0.508,0.492,@CNN,0.0,CNN,34,"Man accused of killing Maine police officer arrested, ending 4-day manhunt https://t.co/OPr0VdhoV1 https://t.co/CpiWHXN0Ve"
34,-0.4404,Sun Apr 29 00:27:31 +0000 2018,0.854,0.146,@CNN,0.0,CNN,35,President Trump attacks Sen. Jon Tester over the Democrat’s opposition to Rear Adm. Ronny Jackson’s VA nomination:… https://t.co/BBzuijmwLU
35,0.0,Sun Apr 29 00:17:23 +0000 2018,1.0,0.0,@CNN,0.0,CNN,36,"""Kanye West gets it,"" President Trump says during a rally in Michigan as he talks about African-American employment… https://t.co/1CAHKfZvs7"
36,0.0,Sun Apr 29 00:05:50 +0000 2018,1.0,0.0,@CNN,0.0,CNN,37,"Former White House Communications Director Anthony Scaramucci says President Trump ""probably has a conflicted view… https://t.co/tHaVAeoSOk"
37,-0.2023,Sun Apr 29 00:00:05 +0000 2018,0.8,0.127,@CNN,0.073,CNN,38,Why President Trump's snubbing of the White House correspondents' dinner matters https://t.co/Z0zmOipmmI | Analysis… https://t.co/pMbmogZ8Jr
38,0.5423,Sat Apr 28 23:57:23 +0000 2018,0.671,0.102,@CNN,0.226,CNN,39,RT @CNNPolitics: President Trump attacks Democrats at the rally: “The Democrats don’t care about our military ... they don’t care about our…
39,0.0,Sat Apr 28 23:53:14 +0000 2018,1.0,0.0,@CNN,0.0,CNN,40,"The crowd in Washington Township, Michigan, chants ""Nobel! Nobel!"" as President Trump talks North Korea… https://t.co/qPS4cnChG2"
40,0.0,Sat Apr 28 23:48:43 +0000 2018,1.0,0.0,@CNN,0.0,CNN,41,"President Trump started his rally in Michigan with a jab at the White House Correspondents' Dinner: ""I'd rather be… https://t.co/42suPwG9x5"
41,0.4336,Sat Apr 28 23:42:01 +0000 2018,0.875,0.0,@CNN,0.125,CNN,42,"President Trump speaks at a rally in Michigan: “We need to elect more Republicans so we can protect our cities, def… https://t.co/hVT6m8l0W0"
42,0.0,Sat Apr 28 23:39:00 +0000 2018,1.0,0.0,@CNN,0.0,CNN,43,RT @CNNPolitics: Former White House economic adviser Gary Cohn at the White House Correspondents’ Dinner: “Freedom of the press is very imp…
43,-0.5423,Sat Apr 28 23:36:51 +0000 2018,0.657,0.232,@CNN,0.111,CNN,44,"Larry Harvey, the founder of the Burning Man festival now held in Nevada, has died at age 70 after suffering a stro… https://t.co/FuL6HCtoE0"
44,0.0,Sat Apr 28 23:33:51 +0000 2018,1.0,0.0,@CNN,0.0,CNN,45,"President Trump speaks in Washington Township, Michigan. https://t.co/UYpqI3w42L

Watch on Facebook:… https://t.co/ZjWccYtjb5"
45,-0.296,Sat Apr 28 23:30:04 +0000 2018,0.694,0.194,@CNN,0.111,CNN,46,"Bill Cosby prosecutor ""filled with awe"" after his guilty verdict https://t.co/HXgMtbkF22 https://t.co/UsFxnGeDAt"
46,0.0,Sat Apr 28 23:27:03 +0000 2018,1.0,0.0,@CNN,0.0,CNN,47,President Trump is skipping tonight's annual White House correspondents' dinner to hold a campaign rally in Michiga… https://t.co/fxwpDSzkkn
47,0.0,Sat Apr 28 23:26:56 +0000 2018,1.0,0.0,@CNN,0.0,CNN,48,"President Trump is holding a campaign-style rally in Washington Township, Michigan. Follow live updates:… https://t.co/93luKEW5RT"
48,0.0,Sat Apr 28 23:20:07 +0000 2018,1.0,0.0,@CNN,0.0,CNN,49,President Trump is skipping the White House correspondents' dinner for the second year in a row. Follow live update… https://t.co/mg4u9Fk0cr
